2023-10-05T00:06:39.362+02:00  INFO 24720 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-05T00:07:10.164+02:00  INFO 22032 --- [main] liquibase.lockservice                    : Successfully acquired change log lock
2023-10-05T00:07:10.187+02:00  INFO 22032 --- [main] liquibase.changelog                      : Creating database history table with name: public.databasechangelog
2023-10-05T00:07:10.197+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.202+02:00  INFO 22032 --- [main] liquibase.changelog                      : Reading from public.databasechangelog
2023-10-05T00:07:10.206+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.213+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.302+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.306+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::1::fomich ran successfully in 33ms
2023-10-05T00:07:10.311+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.314+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.331+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.335+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::2::fomich ran successfully in 17ms
2023-10-05T00:07:10.338+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.359+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.365+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::3::fomich ran successfully in 23ms
2023-10-05T00:07:10.368+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.387+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.391+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::4::fomich ran successfully in 17ms
2023-10-05T00:07:10.397+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.421+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.428+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::5::fomich ran successfully in 25ms
2023-10-05T00:07:10.431+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.451+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.455+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.0.sql::1::fomich ran successfully in 18ms
2023-10-05T00:07:10.458+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.472+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.477+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.1.sql::1::fomich ran successfully in 12ms
2023-10-05T00:07:10.480+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.493+02:00  INFO 22032 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:07:10.496+02:00  INFO 22032 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.1.sql::2::fomich ran successfully in 12ms
2023-10-05T00:07:10.499+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.503+02:00  INFO 22032 --- [main] liquibase                                : Update command completed successfully.
2023-10-05T00:07:10.509+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.513+02:00  INFO 22032 --- [main] liquibase.lockservice                    : Successfully released change log lock
2023-10-05T00:07:10.623+02:00  INFO 22032 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-05T00:07:10.707+02:00  INFO 22032 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.9.Final
2023-10-05T00:07:10.710+02:00  INFO 22032 --- [main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-10-05T00:07:10.860+02:00  INFO 22032 --- [main] o.h.e.boot.internal.EnversServiceImpl    : Envers integration enabled? : true
2023-10-05T00:07:10.883+02:00  INFO 22032 --- [main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
2023-10-05T00:07:11.038+02:00  INFO 22032 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-05T00:07:11.413+02:00  INFO 22032 --- [main] o.h.e.c.i.m.AuditMetadataGenerator       : Adding properties for entity: com.fomich.netdata.database.entity.Multiplexer
2023-10-05T00:07:11.475+02:00  INFO 22032 --- [main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
